empno,ename,job,mgr,hire,sal,comm,deptno
7369,SMITH,CLERK,7902.0,1980-12-17,800.0,,20.0
7499,ALLEN,SALESMAN,7698.0,1981-02-20,1600.0,300.0,30.0
7521,WARD,SALESMAN,7698.0,1981-02-22,1250.0,500.0,30.0
7566,JONES,MANAGER,7839.0,1981-04-02,2975.0,,20.0
7654,MARTIN,SALESMAN,7698.0,1981-09-28,1250.0,1400.0,30.0
7698,BLAKE,MANAGER,7839.0,1981-05-01,2850.0,,30.0
7782,CLARK,MANAGER,7839.0,1981-06-09,2450.0,,10.0
7241,JOHN,MANAGER,7839.0,,,,
7788,SCOTT,ANALYST,7566.0,1982-12-09,3000.0,,20.0
7839,KING,PRESIDENT,,1981-11-17,5000.0,,10.0
7844,TURNER,SALESMAN,7698.0,1981-09-08,1500.0,0.0,30.0
7876,ADAMS,CLERK,7788.0,1983-01-12,1100.0,,20.0
7196,DAGNY,ANALYST,7788.0,1984-01-01,,,20.0
7900,JAMES,CLERK,7698.0,1981-12-03,950.0,,30.0
7902,FORD,ANALYST,7566.0,1981-12-03,3000.0,,20.0
7934,MILLER,CLERK,7782.0,1982-01-23,1300.0,,10.0
